# File: A327.globaltech_cost.csv
# Title: FoodProcessing, default costs
# Units: 1975$/GJ
# Column types: ccccnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2010,2050,2100
FoodProcessing_enuse,refined liquids,refined liquids,non-energy,3,3,3,3
FoodProcessing_enuse,refined liquids,refined liquids cogen,non-energy,4,4,4,4
FoodProcessing_enuse,refined liquids,refined liquids CCS,non-energy,3.5,3.5,3.5,3.5
FoodProcessing_enuse,coal,coal,non-energy,3,3,3,3
FoodProcessing_enuse,coal,coal cogen,non-energy,4,4,4,4
FoodProcessing_enuse,coal,coal CCS,non-energy,3.5,3.5,3.5,3.5
FoodProcessing_enuse,gas,gas,non-energy,3,3,3,3
FoodProcessing_enuse,gas,gas cogen,non-energy,4,4,4,4
FoodProcessing_enuse,gas,gas CCS,non-energy,3.5,3.5,3.5,3.5
FoodProcessing_enuse,biomass,biomass,non-energy,3,3,3,3
FoodProcessing_enuse,biomass,biomass cogen,non-energy,4,4,4,4
FoodProcessing_enuse,biomass,biomass CCS,non-energy,3.5,3.5,3.5,3.5
FoodProcessing_enuse,heat,heat,non-energy,3,3,3,3
FoodProcessing_enuse,electricity,electricity,non-energy,3,3,3,3
