# File: A327.globaltech_shrwt.csv
# Title: chemical default shareweights
# Units: Unitless
# Column types: cccnnnnn
# ----------
supplysector,subsector,technology,1971,2015,2019,2050,2100
FoodProcessing_enuse,refined liquids,refined liquids,1,1,1,1,1
FoodProcessing_enuse,refined liquids,refined liquids cogen,0,0,0,0,0
FoodProcessing_enuse,refined liquids,refined liquids CCS,0,0,0,1,1
FoodProcessing_enuse,gas,gas,1,1,1,1,1
FoodProcessing_enuse,gas,gas cogen,0,0,0,0,0
FoodProcessing_enuse,gas,gas CCS,0,0,0,1,1
FoodProcessing_enuse,biomass,biomass,1,1,1,1,1
FoodProcessing_enuse,biomass,biomass cogen,0,0,0,0,0
FoodProcessing_enuse,biomass,biomass CCS,0,0,0,1,1
FoodProcessing_enuse,heat,heat,1,1,1,1,1
FoodProcessing_enuse,coal,coal,1,1,1,1,1
FoodProcessing_enuse,coal,coal cogen,0,0,0,0,0
FoodProcessing_enuse,coal,coal CCS,0,0,0,1,1
FoodProcessing_enuse,electricity,electricity,1,1,1,1,1
