# File: FoodProcessing_energy_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse energy by IAA region
# Units: EJ
# Description: Regional FoodProcessing energy consumption
# Source: World FoodProcessing Association
# Column types: ciccnc
# ----------
flow,year,IAA_region,fuel,value,unit
FoodProcessing,1980,Africa,electricity,0.0259524,EJ
FoodProcessing,1981,Africa,electricity,0.0283752,EJ
FoodProcessing,1982,Africa,electricity,0.0290088,EJ
FoodProcessing,1983,Africa,electricity,0.0246672,EJ
FoodProcessing,1984,Africa,electricity,0.0236196,EJ
FoodProcessing,1985,Africa,electricity,0.0279972,EJ
FoodProcessing,1986,Africa,electricity,0.0319752,EJ
FoodProcessing,1987,Africa,electricity,0.0326952,EJ
FoodProcessing,1988,Africa,electricity,0.0336276,EJ
FoodProcessing,1989,Africa,electricity,0.0344052,EJ
FoodProcessing,1990,Africa,electricity,0.0337536,EJ
FoodProcessing,1991,Africa,electricity,0.0340776,EJ
FoodProcessing,1992,Africa,electricity,0.034236,EJ
FoodProcessing,1993,Africa,electricity,0.0349416,EJ
FoodProcessing,1994,Africa,electricity,0.032634,EJ
FoodProcessing,1995,Africa,electricity,0.0358776,EJ
FoodProcessing,1996,Africa,electricity,0.0558072,EJ
FoodProcessing,1997,Africa,electricity,0.0601776,EJ
FoodProcessing,1998,Africa,electricity,0.0562896,EJ
FoodProcessing,1999,Africa,electricity,0.0584604,EJ
FoodProcessing,2000,Africa,electricity,0.0639288,EJ
FoodProcessing,2001,Africa,electricity,0.0738036,EJ
FoodProcessing,2002,Africa,electricity,0.0724104,EJ
FoodProcessing,2003,Africa,electricity,0.07434,EJ
FoodProcessing,2004,Africa,electricity,0.0885168,EJ
FoodProcessing,2005,Africa,electricity,0.0893772,EJ
FoodProcessing,2006,Africa,electricity,0.098172,EJ
FoodProcessing,2007,Africa,electricity,0.095508,EJ
FoodProcessing,2008,Africa,electricity,0.091404,EJ
FoodProcessing,2009,Africa,electricity,0.0891972,EJ
FoodProcessing,2010,Africa,electricity,0.07569,EJ
FoodProcessing,2011,Africa,electricity,0.0766116,EJ
FoodProcessing,2012,Africa,electricity,0.0704484,EJ
FoodProcessing,2013,Africa,electricity,0.0832536,EJ
FoodProcessing,2014,Africa,electricity,0.0736596,EJ
FoodProcessing,2015,Africa,electricity,0.0838368,EJ
FoodProcessing,1980,Asia (ex China),electricity,0.0886536,EJ
FoodProcessing,1981,Asia (ex China),electricity,0.07542,EJ
FoodProcessing,1982,Asia (ex China),electricity,0.0596196,EJ
FoodProcessing,1983,Asia (ex China),electricity,0.0601704,EJ
FoodProcessing,1984,Asia (ex China),electricity,0.0708012,EJ
FoodProcessing,1985,Asia (ex China),electricity,0.07002,EJ
FoodProcessing,1986,Asia (ex China),electricity,0.0622332,EJ
FoodProcessing,1987,Asia (ex China),electricity,0.0528588,EJ
FoodProcessing,1988,Asia (ex China),electricity,0.0581364,EJ
FoodProcessing,1989,Asia (ex China),electricity,0.0638352,EJ
FoodProcessing,1990,Asia (ex China),electricity,0.0643284,EJ
