# File: FoodProcessing_prod.csv
# Title: FoodProcessing production by region by sector
# Units: Mt
# Description: Regional FoodProcessing production
# Source: World FoodProcessing Association
# Column types: cciicn
# ----------
region,flow,GCAM_region_ID,year,unit_prod,value
USA,FoodProcessing,1,1990,Mt,4.049441852
USA,FoodProcessing,1,1991,Mt,4.123773683
USA,FoodProcessing,1,1992,Mt,4.043344197
USA,FoodProcessing,1,1993,Mt,3.693153423
USA,FoodProcessing,1,1994,Mt,3.299
USA,FoodProcessing,1,1995,Mt,3.374391563
USA,FoodProcessing,1,1996,Mt,3.577
USA,FoodProcessing,1,1997,Mt,3.603
USA,FoodProcessing,1,1998,Mt,3.712390011
USA,FoodProcessing,1,1999,Mt,3.779
USA,FoodProcessing,1,2000,Mt,3.668
USA,FoodProcessing,1,2001,Mt,2.638010345
USA,FoodProcessing,1,2002,Mt,2.705500554
USA,FoodProcessing,1,2003,Mt,2.703
USA,FoodProcessing,1,2004,Mt,2.516985121
USA,FoodProcessing,1,2005,Mt,2.48423107
USA,FoodProcessing,1,2006,Mt,2.283143768
USA,FoodProcessing,1,2007,Mt,2.556265389
USA,FoodProcessing,1,2008,Mt,2.660300104
USA,FoodProcessing,1,2009,Mt,1.727726088
USA,FoodProcessing,1,2010,Mt,1.726
USA,FoodProcessing,1,2011,Mt,1.984003619
USA,FoodProcessing,1,2012,Mt,2.07
USA,FoodProcessing,1,2013,Mt,1.947187792
USA,FoodProcessing,1,2014,Mt,1.716363835
USA,FoodProcessing,1,2015,Mt,1.589644295
Africa_Eastern,FoodProcessing,2,1990,Mt,0
Africa_Eastern,FoodProcessing,2,1991,Mt,0
Africa_Eastern,FoodProcessing,2,1992,Mt,0
Africa_Eastern,FoodProcessing,2,1993,Mt,0
Africa_Eastern,FoodProcessing,2,1994,Mt,0
Africa_Eastern,FoodProcessing,2,1995,Mt,0
Africa_Eastern,FoodProcessing,2,1996,Mt,0
Africa_Eastern,FoodProcessing,2,1997,Mt,0
Africa_Eastern,FoodProcessing,2,1998,Mt,0
Africa_Eastern,FoodProcessing,2,1999,Mt,0
Africa_Eastern,FoodProcessing,2,2000,Mt,0
Africa_Eastern,FoodProcessing,2,2001,Mt,0
Africa_Eastern,FoodProcessing,2,2002,Mt,0
Africa_Eastern,FoodProcessing,2,2003,Mt,0
Africa_Eastern,FoodProcessing,2,2004,Mt,0
Africa_Eastern,FoodProcessing,2,2005,Mt,0
Africa_Eastern,FoodProcessing,2,2006,Mt,0
Africa_Eastern,FoodProcessing,2,2007,Mt,0
Africa_Eastern,FoodProcessing,2,2008,Mt,0
Africa_Eastern,FoodProcessing,2,2009,Mt,0
Africa_Eastern,FoodProcessing,2,2010,Mt,0
Africa_Eastern,FoodProcessing,2,2011,Mt,0
Africa_Eastern,FoodProcessing,2,2012,Mt,0
Africa_Eastern,FoodProcessing,2,2013,Mt,0
Africa_Eastern,FoodProcessing,2,2014,Mt,0
Africa_Eastern,FoodProcessing,2,2015,Mt,0
Africa_Northern,FoodProcessing,3,1990,Mt,0.178112397
Africa_Northern,FoodProcessing,3,1991,Mt,0.180059504
Africa_Northern,FoodProcessing,3,1992,Mt,0.179161501
Africa_Northern,FoodProcessing,3,1993,Mt,0.179034483
Africa_Northern,FoodProcessing,3,1994,Mt,0.183538983
Africa_Northern,FoodProcessing,3,1995,Mt,0.192835314
Africa_Northern,FoodProcessing,3,1996,Mt,0.177349457
Africa_Northern,FoodProcessing,3,1997,Mt,0.182784314
Africa_Northern,FoodProcessing,3,1998,Mt,0.197461165
Africa_Northern,FoodProcessing,3,1999,Mt,0.19353022
Africa_Northern,FoodProcessing,3,2000,Mt,0.193988055
Africa_Northern,FoodProcessing,3,2001,Mt,0.190250735
Africa_Northern,FoodProcessing,3,2002,Mt,0.197592319
Africa_Northern,FoodProcessing,3,2003,Mt,0.19404878
Africa_Northern,FoodProcessing,3,2004,Mt,0.215245195
Africa_Northern,FoodProcessing,3,2005,Mt,0.244697941
Africa_Northern,FoodProcessing,3,2006,Mt,0.259949087
Africa_Northern,FoodProcessing,3,2007,Mt,0.258998894
Africa_Northern,FoodProcessing,3,2008,Mt,0.260912815
Africa_Northern,FoodProcessing,3,2009,Mt,0.261269795
Africa_Northern,FoodProcessing,3,2010,Mt,0.268310365
Africa_Northern,FoodProcessing,3,2011,Mt,0.272084755
Africa_Northern,FoodProcessing,3,2012,Mt,0.269773292
Africa_Northern,FoodProcessing,3,2013,Mt,0.31754655
Africa_Northern,FoodProcessing,3,2014,Mt,0.300516351
Africa_Northern,FoodProcessing,3,2015,Mt,0.305247286
Africa_Southern,FoodProcessing,4,1990,Mt,0
Africa_Southern,FoodProcessing,4,1991,Mt,0
Africa_Southern,FoodProcessing,4,1992,Mt,0
Africa_Southern,FoodProcessing,4,1993,Mt,0
Africa_Southern,FoodProcessing,4,1994,Mt,0
Africa_Southern,FoodProcessing,4,1995,Mt,0
Africa_Southern,FoodProcessing,4,1996,Mt,0
Africa_Southern,FoodProcessing,4,1997,Mt,0
Africa_Southern,FoodProcessing,4,1998,Mt,0
Africa_Southern,FoodProcessing,4,1999,Mt,0
Africa_Southern,FoodProcessing,4,2000,Mt,0.054276451
Africa_Southern,FoodProcessing,4,2001,Mt,0.267760294
Africa_Southern,FoodProcessing,4,2002,Mt,0.271562777
Africa_Southern,FoodProcessing,4,2003,Mt,0.407004878
Africa_Southern,FoodProcessing,4,2004,Mt,0.547081538
Africa_Southern,FoodProcessing,4,2005,Mt,0.556587529
Africa_Southern,FoodProcessing,4,2006,Mt,0.581790814
Africa_Southern,FoodProcessing,4,2007,Mt,0.566183628
Africa_Southern,FoodProcessing,4,2008,Mt,0.537881802
Africa_Southern,FoodProcessing,4,2009,Mt,0.537328446
Africa_Southern,FoodProcessing,4,2010,Mt,0.561837869
Africa_Southern,FoodProcessing,4,2011,Mt,0.577025028
Africa_Southern,FoodProcessing,4,2012,Mt,0.574159006
Africa_Southern,FoodProcessing,4,2013,Mt,0.565629792
Africa_Southern,FoodProcessing,4,2014,Mt,0.567975904
Africa_Southern,FoodProcessing,4,2015,Mt,0.567759952
Africa_Western,FoodProcessing,5,1990,Mt,0.265676033
Africa_Western,FoodProcessing,5,1991,Mt,0.260985124
Africa_Western,FoodProcessing,5,1992,Mt,0.263709625
Africa_Western,FoodProcessing,5,1993,Mt,0.259954023
Africa_Western,FoodProcessing,5,1994,Mt,0.224542373
Africa_Western,FoodProcessing,5,1995,Mt,0.229259762
Africa_Western,FoodProcessing,5,1996,Mt,0.219432379
Africa_Western,FoodProcessing,5,1997,Mt,0.241647059
Africa_Western,FoodProcessing,5,1998,Mt,0.159994175
Africa_Western,FoodProcessing,5,1999,Mt,0.210576923
Africa_Western,FoodProcessing,5,2000,Mt,0.253290102
Africa_Western,FoodProcessing,5,2001,Mt,0.244608088
Africa_Western,FoodProcessing,5,2002,Mt,0.186446086
Africa_Western,FoodProcessing,5,2003,Mt,0.092546341
Africa_Western,FoodProcessing,5,2004,Mt,0.085699476
Africa_Western,FoodProcessing,5,2005,Mt,0.103294622
Africa_Western,FoodProcessing,5,2006,Mt,0.099028224
Africa_Western,FoodProcessing,5,2007,Mt,0.087336836
Africa_Western,FoodProcessing,5,2008,Mt,0.102358104
Africa_Western,FoodProcessing,5,2009,Mt,0.084789443
Africa_Western,FoodProcessing,5,2010,Mt,0.097842501
Africa_Western,FoodProcessing,5,2011,Mt,0.125261661
Africa_Western,FoodProcessing,5,2012,Mt,0.118089441
Africa_Western,FoodProcessing,5,2013,Mt,0.113125958
Africa_Western,FoodProcessing,5,2014,Mt,0.131225473
Africa_Western,FoodProcessing,5,2015,Mt,0.10683655
Australia_NZ,FoodProcessing,6,1990,Mt,1.498
Australia_NZ,FoodProcessing,6,1991,Mt,1.495
Australia_NZ,FoodProcessing,6,1992,Mt,1.483
Australia_NZ,FoodProcessing,6,1993,Mt,1.653
Australia_NZ,FoodProcessing,6,1994,Mt,1.583
Australia_NZ,FoodProcessing,6,1995,Mt,1.566
Australia_NZ,FoodProcessing,6,1996,Mt,1.656
Australia_NZ,FoodProcessing,6,1997,Mt,1.804
Australia_NZ,FoodProcessing,6,1998,Mt,1.934
Australia_NZ,FoodProcessing,6,1999,Mt,2.028
Australia_NZ,FoodProcessing,6,2000,Mt,2.094
Australia_NZ,FoodProcessing,6,2001,Mt,2.122
Australia_NZ,FoodProcessing,6,2002,Mt,2.17
Australia_NZ,FoodProcessing,6,2003,Mt,2.198
Australia_NZ,FoodProcessing,6,2004,Mt,2.246
