# File: FoodProcessing_prod_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse production by IAA region
# Units: Thousand tons
# Description: Regional FoodProcessing production
# Source: World FoodProcessing Association
# Column types: cicnc
# ----------
flow,year,IAA_region,value,unit
FoodProcessing,1973,Africa,249,Thousand metric tons
FoodProcessing,1973,Asia (ex China),1439,Thousand metric tons
FoodProcessing,1973,China (Estimated),0,Thousand metric tons
FoodProcessing,1973,East & Central Europe,0,Thousand metric tons
FoodProcessing,1973,GCC,0,Thousand metric tons
FoodProcessing,1973,North America,5039,Thousand metric tons
FoodProcessing,1973,Oceania,324,Thousand metric tons
FoodProcessing,1973,South America,229,Thousand metric tons
FoodProcessing,1973,West Europe,2757,Thousand metric tons
FoodProcessing,1974,Africa,278,Thousand metric tons
FoodProcessing,1974,Asia (ex China),1463,Thousand metric tons
FoodProcessing,1974,China (Estimated),0,Thousand metric tons
FoodProcessing,1974,East & Central Europe,0,Thousand metric tons
FoodProcessing,1974,GCC,0,Thousand metric tons
FoodProcessing,1974,North America,5454,Thousand metric tons
FoodProcessing,1974,Oceania,330,Thousand metric tons
FoodProcessing,1974,South America,256,Thousand metric tons
FoodProcessing,1974,West Europe,3150,Thousand metric tons
FoodProcessing,1975,Africa,272,Thousand metric tons
FoodProcessing,1975,Asia (ex China),1390,Thousand metric tons
FoodProcessing,1975,China (Estimated),0,Thousand metric tons
FoodProcessing,1975,East & Central Europe,0,Thousand metric tons
FoodProcessing,1975,GCC,0,Thousand metric tons
FoodProcessing,1975,North America,4400,Thousand metric tons
FoodProcessing,1975,Oceania,323,Thousand metric tons
FoodProcessing,1975,South America,275,Thousand metric tons
FoodProcessing,1975,West Europe,3062,Thousand metric tons
FoodProcessing,1976,Africa,337,Thousand metric tons
FoodProcessing,1976,Asia (ex China),1365,Thousand metric tons
FoodProcessing,1976,China (Estimated),0,Thousand metric tons
FoodProcessing,1976,East & Central Europe,0,Thousand metric tons
FoodProcessing,1976,GCC,0,Thousand metric tons
FoodProcessing,1976,North America,4485,Thousand metric tons
FoodProcessing,1976,Oceania,372,Thousand metric tons
FoodProcessing,1976,South America,316,Thousand metric tons
FoodProcessing,1976,West Europe,3150,Thousand metric tons
FoodProcessing,1977,Africa,367,Thousand metric tons
FoodProcessing,1977,Asia (ex China),1614,Thousand metric tons
FoodProcessing,1977,China (Estimated),0,Thousand metric tons
FoodProcessing,1977,East & Central Europe,0,Thousand metric tons
FoodProcessing,1977,GCC,0,Thousand metric tons
FoodProcessing,1977,North America,5093,Thousand metric tons
FoodProcessing,1977,Oceania,393,Thousand metric tons
FoodProcessing,1977,South America,358,Thousand metric tons
FoodProcessing,1977,West Europe,3292,Thousand metric tons
FoodProcessing,1978,Africa,336,Thousand metric tons
FoodProcessing,1978,Asia (ex China),1511,Thousand metric tons
FoodProcessing,1978,China (Estimated),0,Thousand metric tons
FoodProcessing,1978,East & Central Europe,0,Thousand metric tons
FoodProcessing,1978,GCC,0,Thousand metric tons
FoodProcessing,1978,North America,5409,Thousand metric tons
